DN,Frequency
8,10
9,651
10,5080
11,11458
12,10900
13,9453
14,7167
15,3294
16,1468
17,859
18,582
19,418
20,386
21,349
22,320
23,316
24,308
25,269
26,248
27,239
28,234
29,223
30,211
31,234
32,202
33,204
34,192
35,205
36,204
37,200
38,198
39,205
40,183
41,209
42,200
43,190
44,205
45,224
46,179
47,201
48,220
49,208
50,220
51,205
52,192
53,205
54,213
55,219
56,223
57,210
58,242
59,191
60,216
61,216
62,193
63,175
64,241
65,217
66,228
67,212
68,250
69,216
70,264
71,270
72,223
73,223
74,265
75,234
76,248
77,263
78,240
79,248
80,259
81,303
82,283
83,253
84,290
85,261
86,295
87,273
88,294
89,298
90,280
91,310
92,288
93,313
94,333
95,309
96,313
97,345
98,358
99,361
100,351
101,367
102,359
103,390
104,371
105,360
106,396
107,392
108,388
109,420
110,420
111,429
112,418
113,468
114,506
115,471
116,488
117,473
118,508
119,500
120,523
121,541
122,573
123,617
124,597
125,633
126,639
127,666
128,673
129,677
130,666
131,727
132,711
133,796
134,797
135,769
136,792
137,870
138,875
139,909
140,943
141,951
142,985
143,983
144,1065
145,1077
146,1154
147,1169
148,1168
149,1188
150,1184
151,1245
152,1215
153,1284
154,1305
155,1418
156,1423
157,1425
158,1434
159,1437
160,1404
161,1469
162,1513
163,1474
164,1571
165,1461
166,1527
167,1539
168,1470
169,1530
170,1475
171,1413
172,1426
173,1425
174,1332
175,1354
176,1284
177,1265
178,1194
179,1197
180,1112
181,1086
182,1056
183,927
184,886
185,875
186,780
187,679
188,657
189,566
190,505
191,449
192,417
193,366
194,299
195,279
196,256
197,208
198,194
199,160
200,132
201,121
202,96
203,91
204,69
205,72
206,66
207,52
208,66
209,39
210,59
211,44
212,43
213,45
214,42
215,40
216,43
217,43
218,28
219,27
220,29
221,34
222,36
223,34
224,30
225,33
226,37
227,22
228,20
229,17
230,19
231,16
232,18
233,15
234,13
235,14
236,26
237,20
238,25
239,22
240,16
241,11
242,10
243,6
244,1
